Title,Description,Role,StartDate,EndDate,Status,Funding,Funder,Partners,Link
"Building Human Capital Management Systems to Support the Next Education Workforce in Mesa Public Schools","Transforming teacher staffing and professional development through team-based models in Mesa Public Schools",Administrator,"October 2021",,Active,"$8,206,449","U.S. Department of Education - Teacher & School Leader Grant","Mesa Public Schools",http://workforce.education.asu.edu/
"Redesigning Middle Schools in Albuquerque Public Schools","Comprehensive redesign of middle school structures and staffing models in Albuquerque",Co-Principal Investigator,"January 2025",,Active,"$1,400,000",Request for Proposals,"Albuquerque Public Schools",
